keypoint,x,y
Nose,0.0,345.0
Neck,0.0,382.0
RShoulder,-1,-1
RElbow,-1,-1
RWrist,-1,-1
LShoulder,0.0,383.0
LElbow,27.0,433.0
LWrist,0.0,457.0
MidHip,-1,-1
RHip,-1,-1
RKnee,-1,-1
RAnkle,25.0,457.0
LHip,-1,-1
LAnkle,-1,-1
REye,-1,-1
LEye,0.0,338.0
REar,-1,-1
LEar,0.0,341.0
